"TI","AB"
"THE APPLICATIONS OF FUZZY LOGIC MODELS ON FOOD AND MARINE FOOD PRODUCTS","WITH THE DEVELOPING TECHNOLOGY, METHODS FOR DETERMINING THE QUALITY OF FOOD PRODUCTS BY FAST, EASY, CHEAP, AND RELIABLE METHODS ARE PREFERRED. FAST TECHNIQUES HAVE MANY ADVANTAGES OVER TRADITIONAL METHODS IN TERMS OF USABILITY IN DETERMINING THE QUALITY AND SAFETY OF FOOD PRODUCTS. FURTHERMORE, THEY ALSO HAVE SIGNIFICANT ADVANTAGES BECAUSE THEY CAN BE USED IN A VARIETY OF ISSUES SUCH AS PREDICTING THE QUALITY, SHELF LIFE, AND RISK EVALUATIONS OF FOOD PRODUCTS IN MATHEMATICAL MODELS, WHICH HAVE BECOME INCREASINGLY POPULAR IN RECENT YEARS. DEVELOPING FAST METHODS AND THE ADVANTAGES OF USING CONSTANTLY DEVELOPING MATHEMATICAL METHODS TOGETHER WITH THESE METHODS IN ALL SECTORS, ESPECIALLY FOOD AND MARINE FOOD PRODUCTS, WILL INCREASE THEIR PREFERENCES IN THE FUTURE AS WELL AS TODAY. THE FUZZY LOGIC APPROACH IS ONE OF THESE RECOMMENDED MATHEMATICAL METHODOLOGIES. THEREFORE, ON THE IMPORTANCE OF SUBJECT THE USAGE OF FUZZY LOGIC MODEL, THEIR APPLICATIONS ON FOOD AND MARINE FOOD PRODUCTS AND THE LATEST STUDIES ON THIS SUBJECT WERE INCLUDED IN THIS REVIEW. IN THE FUTURE, IT IS EXPECTED THAT UPGRADED VERSIONS OF THE FUZZY LOGIC METHOD WILL EVENTUALLY REPLACE THE FUZZY LOGIC VERSIONS CURRENTLY IN USE."
"APPLICATION OF ARTIFICIAL INTELLIGENCE TECHNIQUES IN MEAT PROCESSING: A REVIEW","THE FIELD OF MEAT PROCESSING PLAYS A CRITICAL ROLE IN THE FOOD INDUSTRY AND HAS SEEN INCREASING ADOPTION OF ARTIFICIAL INTELLIGENCE (AI) TECHNOLOGY WITH RAPID TECHNOLOGICAL ADVANCEMENTS. AI TECHNOLOGY HAS TREMENDOUS POTENTIAL FOR ENHANCING PRODUCTION EFFICIENCY AND PRODUCT QUALITY IN MEAT PROCESSING. HOWEVER, FURTHER RESEARCH AND EXPLORATION ARE NECESSARY TO TACKLE THE CHALLENGES POSED BY THE USE OF AI TECHNOLOGY. THIS ARTICLE DETAILS THE IMPLEMENTATION OF AI TECHNOLOGY IN MEAT PROCESSING, FOCUSING ON CARCASS CLASSIFICATION, AUTOMATION AND INTELLIGENT PROCESSING, AND MEAT-QUALITY DETECTION. WE AIM TO PROVIDE INSPIRATION TO RESEARCHERS AND INDUSTRY PROFESSIONALS AND PROMOTE THE ADVANCEMENT OF AI TECHNOLOGY IN THE MEAT PROCESSING SECTOR.PRACTICAL APPLICATIONSOUR REVIEW ARTICLE SHOWCASES THE POTENTIAL INDUSTRIAL APPLICATIONS OF ARTIFICIAL INTELLIGENCE (AI) TECHNIQUES IN THE MEAT PROCESSING INDUSTRY. AI TECHNOLOGY CAN GREATLY IMPROVE PRODUCTION EFFICIENCY AND PRODUCT QUALITY IN MEAT PROCESSING. BY IMPLEMENTING AI ALGORITHMS, MEAT PROCESSORS CAN ACCURATELY CLASSIFY CARCASSES, AUTOMATE VARIOUS PROCESSING TASKS, AND DETECT MEAT QUALITY WITH HIGHER ACCURACY. THESE ADVANCEMENTS CAN LEAD TO INCREASED PROFITABILITY AND IMPROVED FOOD SAFETY IN THE INDUSTRY. WE HOPE TO PROVIDE VALUABLE INSIGHTS FOR RESEARCHERS AND INDUSTRY PROFESSIONALS, ENCOURAGING THEM TO FURTHER EXPLORE AND ADOPT AI TECHNOLOGY IN THE MEAT PROCESSING SECTOR. OUR STUDY DELVES INTO THE APPLICATION OF AI TECHNOLOGY IN PIVOTAL AREAS, INCLUDING CARCASS CATEGORIZATION, AUTOMATION, INTELLIGENT PROCESSING, AND THE DETECTION OF MEAT QUALITY. OUR STUDY IS EXPECTED TO INSPIRE FURTHER RESEARCH ON AI TECHNOLOGY IN THE MEAT PROCESSING INDUSTRY AND PROVIDE A REFERENCE FOR RESEARCHERS. IMAGE"
"NAVIGATING THE DEVELOPMENT OF SILVER NANOPARTICLES BASED FOOD ANALYSIS THROUGH THE POWER OF ARTIFICIAL INTELLIGENCE","IN THE ONGOING PURSUIT OF ENHANCING FOOD SAFETY AND QUALITY THROUGH ADVANCED TECHNOLOGIES, SILVER NANOPARTICLES (AGNPS) STAND OUT FOR THEIR ANTIMICROBIAL PROPERTIES. DESPITE BEING OVERSHADOWED BY OTHER NANOPARTICLES IN FOOD SENSING APPLICATIONS, AGNPS POSSESS INHERENT QUALITIES THAT MAKE THEM EFFECTIVE TOOLS FOR RAPID AND SELECTIVE CONTAMINANT DETECTION IN FOOD MATRICES. THIS REVIEW AIMS TO REINVIGORATE THE INTEREST IN AGNPS IN THE FOOD INDUSTRY, EMPHASIZING THEIR SENSING MECHANISM AND THE TRANSFORMATIVE POTENTIAL OF INTEGRATING THEM WITH ARTIFICIAL INTELLIGENCE (AI) FOR ENHANCED FOOD SAFETY MONITORING. IT DISCUSSES KEY AI TOOLS AND PRINCIPLES IN THE FOOD INDUSTRY, DEMONSTRATING THEIR POSITIVE IMPACT ON FOOD ANALYTICAL CHEMISTRY. THE INTERPLAY BETWEEN AI AND BIOSENSORS OFFERS MANY ADVANTAGES AND ADAPTABILITY TO DYNAMIC ANALYTICAL CHALLENGES, SIGNIFICANTLY IMPROVING FOOD SAFETY MONITORING AND POTENTIALLY REDEFINING THE LANDSCAPE OF FOOD SAFETY AND QUALITY ASSURANCE."
"EXPLORING RECENT DEVELOPMENTS IN NOVEL TECHNOLOGIES AND AI INTEGRATION FOR PLANT-BASED PROTEIN FUNCTIONALITY: A REVIEW","THE INCREASING DEMAND FOR PLANT -BASED PROTEINS FACES CHALLENGES DUE TO THEIR INHERENT FUNCTIONAL LIMITATIONS. TO MEET ECO-FRIENDLY STANDARDS, SEVERAL ``GREEN'' AND INNOVATIVE PROCESSING TECHNOLOGIES LIKE HIGH-PRESSURE PROCESSING (HPP), PULSE ELECTRIC FIELD (PEF), PRECISION FERMENTATION, 3D EXTRUSION, AND ULTRASONIC TECHNOLOGY ARE GAINING ATTENTION FOR PROTEIN FUNCTIONALITY. MODIFYING PROTEIN STRUCTURE THROUGH THESE TECHNOLOGIES UNLOCKS UNIQUE POSSIBILITIES FOR FUNCTIONAL FOOD DESIGN. UNDERSTANDING THE MECHANISMS AND ADVANCEMENTS OF THESE TECHNOLOGIES IS CRUCIAL FOR TARGETED FUNCTIONAL IMPROVEMENTS, OPENING NEW PATHWAYS FOR EXPLORATION. THIS REVIEW EXPLORES RECENT ADVANCES IN HPP, PEF, PRECISION FERMENTATION, 3D EXTRUSION, AND ULTRASONIC TECHNOLOGY FOR ENHANCING PLANT PROTEIN FUNCTIONALITY, DETAILING THEIR POSITIVE IMPACTS. THE ROLE OF ARTIFICIAL INTELLIGENCE (AI) IN DISCOVERING HEALTH -ENHANCING MOLECULES IN FUNCTIONAL FOOD INGREDIENTS IS EXAMINED. REAL-TIME MONITORING AND SOFTWARE DEVELOPMENT FOR PRECISE PROTEIN CONTROL ARE KEY TOOLS FOR LEVERAGING THESE TECHNOLOGIES EFFECTIVELY. MOREOVER, THE NEED FOR FURTHER RESEARCH IN DIGITALIZATION TECHNOLOGIES TO ADVANCE HEALTHIER AND SUSTAINABLE FOOD CHOICES WAS HIGHLIGHTED. THUS, THE REVIEW OFFERS INVALUABLE INSIGHTS FOR FOOD RESEARCHERS AND SCIENTISTS, PROVIDING A ROADMAP TO ADVANCE THE DEVELOPMENT OF HEALTHIER, INNOVATIVE, AND SUSTAINABLE FOOD CHOICES, ALIGNING WITH EVOLVING CONSUMER PREFERENCES AND ECO-FRIENDLY STANDARDS."
"A COMPREHENSIVE REVIEW OF MACHINE LEARNING AND ITS APPLICATION TO DAIRY PRODUCTS","MACHINE LEARNING (ML) TECHNOLOGY IS A POWERFUL TOOL IN FOOD SCIENCE AND ENGINEERING OFFERING NUMEROUS ADVANTAGES, FROM RECOGNIZING PATTERNS AND PREDICTING OUTCOMES TO CUSTOMIZING AND ADJUSTING TO INDIVIDUAL NEEDS. ITS FURTHER DEVELOPMENT CAN ENABLE RESEARCHERS AND INDUSTRIES TO SIGNIFICANTLY ENHANCE THE EFFICIENCY OF DAIRY PROCESSING WHILE PROVIDING VALUABLE INSIGHTS INTO THE FIELD. THIS PAPER PRESENTS AN OVERVIEW OF THE ROLE OF MACHINE LEARNING IN THE DAIRY INDUSTRY AND ITS POTENTIAL TO IMPROVE THE EFFICIENCY OF DAIRY PROCESSING. WE PERFORMED A SYSTEMATIC SEARCH FOR ARTICLES PUBLISHED BETWEEN JANUARY 2003 AND JANUARY 2023 RELATED TO MACHINE LEARNING IN DAIRY PRODUCTS AND HIGHLIGHTED THE ALGORITHMS USED. 48 STUDIES ARE DISCUSSED TO ASSIST RESEARCHERS IN IDENTIFYING THE BEST METHODS THAT COULD BE APPLIED IN THEIR FIELD AND PROVIDING RELEVANT IDEAS FOR FUTURE RESEARCH DIRECTIONS. MOREOVER, A STEP-BY-STEP GUIDE TO THE MACHINE LEARNING PROCESS, INCLUDING A CLASSIFICATION OF DIFFERENT MACHINE LEARNING ALGORITHMS, IS PROVIDED. THIS REVIEW FOCUSES ON STATE-OF-THE-ART MACHINE LEARNING APPLICATIONS IN MILK PRODUCTS AND THEIR TRANSFORMATION INTO OTHER DAIRY PRODUCTS, BUT IT ALSO PRESENTS FUTURE PERSPECTIVES AND CONCLUSIONS. THE STUDY SERVES AS A VALUABLE GUIDE FOR INDIVIDUALS IN THE DAIRY INDUSTRY INTERESTED IN LEARNING ABOUT OR GETTING INVOLVED WITH ML."
"HIGH-THROUGHPUT ANALYSIS OF HAZARDS IN NOVEL FOOD BASED ON THE DENSITY FUNCTIONAL THEORY AND MULTIMODAL DEEP LEARNING","THE EMERGENCE OF CULTURED MEAT PRESENTS THE POTENTIAL FOR PERSONALIZED FOOD ADDITIVE MANUFACTURING, OFFERING A SOLUTION TO ADDRESS FUTURE FOOD RESOURCE SCARCITY. PROCESSING RAW MATERIALS AND PRODUCTS IN SYNTHETIC FOOD PRODUCTS POSES CHALLENGES IN IDENTIFYING HAZARDS, IMPACTING THE ENTIRE INDUSTRIAL CHAIN DURING THE INDUSTRY'S FURTHER EVOLUTION. IT IS CRUCIAL TO EXAMINE THE CORRELATION OF BIOLOGICAL INFORMATION AT DIFFERENT LEVELS AND TO REVEAL THE TEMPORAL DYNAMICS JOINTLY. PROPOSED ACTIVE PREVENTION METHOD INCLUDES FOUR ASPECTS: (I) INVESTIGATING THE MOLECULAR-LEVEL MECHANISM UNDERLYING THE BINDING AND DISSOCIATION OF HAZARDS WITH PROTEINS REPRESENTS A NOVEL APPROACH TO MITIGATE MATRIX EFFECT. (II) IDENTIFYING DISTINCT FRAGMENTS IS A PIVOTAL ADVANCEMENT TOWARD DEVELOPING A NOVEL SCREENING STRATEGY FOR HAZARDS THROUGHOUT THE FOOD CHAIN. (III) DESIGNING AN ARTIFICIAL INTELLIGENCE MODELBASED APPROACH TO ACQUIRE MULTI-DIMENSIONAL HISTOLOGY DATA ALSO HOLDS SIGNIFICANT POTENTIAL FOR VARIOUS APPLICATIONS. (IV) INTEGRATING MULTIMODAL DATA IS A PRACTICAL APPROACH TO ENHANCE EVALUATION AND FEEDBACK CONTROL ACCURACY."
"MACHINE LEARNING ASSISTED BIOSENSING TECHNOLOGY: AN EMERGING POWERFUL TOOL FOR IMPROVING THE INTELLIGENCE OF FOOD SAFETY DETECTION","RECENTLY, THE APPLICATION OF BIOSENSORS IN FOOD SAFETY ASSESSMENT HAS GAINED CONSIDERABLE RESEARCH ATTENTION. NEVERTHELESS, THE EVALUATION OF BIOSENSORS' SENSITIVITY, ACCURACY, AND EFFICIENCY IS STILL ONGOING. THE ADVENT OF MACHINE LEARNING HAS ENHANCED THE APPLICATION OF BIOSENSORS IN FOOD SECURITY ASSESSMENT, YIELDING IMPROVED RESULTS. MACHINE LEARNING HAS BEEN PRELIMINARILY APPLIED IN COMBINATION WITH DIFFERENT BIOSENSORS IN FOOD SAFETY ASSESSMENT, WITH POSITIVE RESULTS. THIS REVIEW OFFERS A COMPREHENSIVE SUMMARY OF THE DIVERSE MACHINE LEARNING METHODS EMPLOYED IN BIOSENSORS FOR FOOD SAFETY. INITIALLY, THE PRIMARY MACHINE LEARNING METHODS WERE OUTLINED, AND THE INTEGRATED APPLICATION OF BIOSENSORS AND MACHINE LEARNING IN FOOD SAFETY WAS THOROUGHLY EXAMINED. LASTLY, THE CHALLENGES AND LIMITATIONS OF MACHINE LEARNING AND BIOSENSORS IN THE REALM OF FOOD SAFETY WERE UNDERSCORED, AND POTENTIAL SOLUTIONS WERE EXPLORED. THE REVIEW'S FINDINGS DEMONSTRATED THAT ALGORITHMS GROUNDED IN MACHINE LEARNING CAN AID IN THE EARLY DETECTION OF FOOD SAFETY ISSUES. FURTHERMORE, PRELIMINARY RESEARCH SUGGESTS THAT BIOSENSORS COULD BE OPTIMIZED THROUGH MACHINE LEARNING FOR REAL-TIME, MULTIFACETED ANALYSES OF FOOD SAFETY VARIABLES AND THEIR INTERACTIONS. THE POTENTIAL OF MACHINE LEARNING AND BIOSENSORS IN REALTIME MONITORING OF FOOD QUALITY HAS BEEN DISCUSSED."
"INTELLIGENT BIOSENSORS PROMISE SMARTER SOLUTIONS IN FOOD SAFETY 4.0","FOOD SAFETY IS CLOSELY RELATED TO HUMAN HEALTH. HOWEVER, THE REGULATION AND TESTING PROCESSES FOR FOOD SAFETY ARE INTRICATE AND RESOURCE-INTENSIVE. THEREFORE, IT IS NECESSARY TO ADDRESS FOOD SAFETY RISKS USING A COMBINATION OF DEEP LEARNING, THE INTERNET OF THINGS, SMARTPHONES, QUICK RESPONSE CODES, SMART PACKAGING, AND OTHER SMART TECHNOLOGIES. INTELLIGENT DESIGNS THAT COMBINE DIGITAL SYSTEMS AND ADVANCED FUNCTIONALITIES WITH BIOSENSORS HOLD GREAT PROMISE FOR REVOLUTIONIZING CURRENT FOOD SAFETY PRACTICES. THIS REVIEW INTRODUCES THE CONCEPT OF FOOD SAFETY 4.0, AND DISCUSSES THE IMPACT OF INTELLIGENT BIOSENSORS, WHICH OFFER ATTRACTIVE SMARTER SOLUTIONS, INCLUDING REAL-TIME MONITORING, PREDICTIVE ANALYTICS, ENHANCED TRACEABILITY, AND CONSUMER EMPOWERMENT, HELPING IMPROVE RISK MANAGEMENT AND ENSURE THE HIGHEST STANDARDS OF FOOD SAFETY."
"MOLECULAR SIMULATION FOR FOOD PROTEIN-LIGAND INTERACTIONS: A COMPREHENSIVE REVIEW ON PRINCIPLES, CURRENT APPLICATIONS, AND EMERGING TRENDS","IN RECENT YEARS, INVESTIGATIONS ON MOLECULAR INTERACTION MECHANISMS BETWEEN FOOD PROTEINS AND LIGANDS HAVE ATTRACTED MUCH INTEREST. THE INTERACTION MECHANISMS CAN SUPPLY MUCH USEFUL INFORMATION FOR MANY FIELDS IN THE FOOD INDUSTRY, INCLUDING NUTRIENT DELIVERY, FOOD PROCESSING, AUXILIARY DETECTION, AND OTHERS. MOLECULAR SIMULATION HAS OFFERED EXTRAORDINARY INSIGHTS INTO THE INTERACTION MECHANISMS. IT CAN REFLECT BINDING CONFORMATION, INTERACTION FORCES, BINDING AFFINITY, KEY RESIDUES, AND OTHER INFORMATION THAT PHYSICOCHEMICAL EXPERIMENTS CANNOT REVEAL IN A FAST AND DETAILED MANNER. THE SIMULATION RESULTS HAVE PROVEN TO BE CONSISTENT WITH THE RESULTS OF PHYSICOCHEMICAL EXPERIMENTS. MOLECULAR SIMULATION HOLDS GREAT POTENTIAL FOR FUTURE APPLICATIONS IN THE FIELD OF FOOD PROTEIN-LIGAND INTERACTIONS. THIS REVIEW ELABORATES ON THE PRINCIPLES OF MOLECULAR DOCKING AND MOLECULAR DYNAMICS SIMULATION. BESIDES, THEIR APPLICATIONS IN FOOD PROTEIN-LIGAND INTERACTIONS ARE SUMMARIZED. FURTHERMORE, CHALLENGES, PERSPECTIVES, AND TRENDS IN MOLECULAR SIMULATION OF FOOD PROTEIN-LIGAND INTERACTIONS ARE PROPOSED. BASED ON THE RESULTS OF MOLECULAR SIMULATION, THE MECHANISMS OF INTERFACIAL BEHAVIOR, ENZYME-SUBSTRATE BINDING, AND STRUCTURAL CHANGES DURING FOOD PROCESSING CAN BE REFLECTED, AND STRATEGIES FOR HAZARDOUS SUBSTANCE DETECTION AND FOOD FLAVOR ADJUSTMENT CAN BE GENERATED. MOREOVER, MOLECULAR SIMULATION CAN ACCELERATE FOOD DEVELOPMENT AND REDUCE ANIMAL EXPERIMENTS. HOWEVER, THERE ARE STILL SEVERAL CHALLENGES TO APPLYING MOLECULAR SIMULATION TO FOOD PROTEIN-LIGAND INTERACTION RESEARCH. THE FUTURE TRENDS WILL BE A COMBINATION OF INTERNATIONAL COOPERATION AND DATA SHARING, QUANTUM MECHANICS/MOLECULAR MECHANICS, ADVANCED COMPUTATIONAL TECHNIQUES, AND MACHINE LEARNING, WHICH CONTRIBUTE TO PROMOTING FOOD PROTEIN-LIGAND INTERACTION SIMULATION. OVERALL, THE USE OF MOLECULAR SIMULATION TO STUDY FOOD PROTEIN-LIGAND INTERACTIONS HAS A PROMISING PROSPECT."
"MAKING FOOD SYSTEMS MORE RESILIENT TO FOOD SAFETY RISKS BY INCLUDING ARTIFICIAL INTELLIGENCE, BIG DATA, AND INTERNET OF THINGS INTO FOOD SAFETY EARLY WARNING AND EMERGING RISK IDENTIFICATION TOOLS","TO ENHANCE THE RESILIENCE OF FOOD SYSTEMS TO FOOD SAFETY RISKS, IT IS VITALLY IMPORTANT FOR NATIONAL AUTHORITIES AND INTERNATIONAL ORGANIZATIONS TO BE ABLE TO IDENTIFY EMERGING FOOD SAFETY RISKS AND TO PROVIDE EARLY WARNING SIGNALS IN A TIMELY MANNER. THIS REVIEW PROVIDES AN OVERVIEW OF EXISTING AND EXPERIMENTAL APPLICATIONS OF ARTIFICIAL INTELLIGENCE (AI), BIG DATA, AND INTERNET OF THINGS AS PART OF EARLY WARNING AND EMERGING RISK IDENTIFICATION TOOLS AND METHODS IN THE FOOD SAFETY DOMAIN. THERE IS AN ONGOING RAPID DEVELOPMENT OF SYSTEMS FED BY NUMEROUS, REAL-TIME, AND DIVERSE DATA WITH THE AIM OF EARLY WARNING AND IDENTIFICATION OF EMERGING FOOD SAFETY RISKS. THE SUITABILITY OF BIG DATA AND AI TO SUPPORT SUCH SYSTEMS IS ILLUSTRATED BY TWO CASES IN WHICH CLIMATE CHANGE DRIVES THE EMERGENCE OF RISKS, NAMELY, HARMFUL ALGAL BLOOMS AFFECTING SEAFOOD AND FUNGAL GROWTH AND MYCOTOXIN FORMATION IN CROPS. AUTOMATION AND MACHINE LEARNING ARE CRUCIAL FOR THE DEVELOPMENT OF FUTURE REAL-TIME FOOD SAFETY RISK EARLY WARNING SYSTEMS. ALTHOUGH THESE DEVELOPMENTS INCREASE THE FEASIBILITY AND EFFECTIVENESS OF PROSPECTIVE EARLY WARNING AND EMERGING RISK IDENTIFICATION TOOLS, THEIR IMPLEMENTATION MAY PROVE CHALLENGING, PARTICULARLY FOR LOW- AND MIDDLE-INCOME COUNTRIES DUE TO LOW CONNECTIVITY AND DATA AVAILABILITY. IT IS ADVOCATED TO OVERCOME THESE CHALLENGES BY IMPROVING THE CAPABILITY AND CAPACITY OF NATIONAL AUTHORITIES, AS WELL AS BY ENHANCING THEIR COLLABORATION WITH THE PRIVATE SECTOR AND INTERNATIONAL ORGANIZATIONS."
"COMBINING AI TOOLS WITH NON-DESTRUCTIVE TECHNOLOGIES FOR CROP-BASED FOOD SAFETY: A COMPREHENSIVE REVIEW","ON A GLOBAL SCALE, FOOD SAFETY AND SECURITY ASPECTS ENTAIL CONSIDERATION THROUGHOUT THE FARM-TO-FORK CONTINUUM, CONSIDERING FOOD'S SUPPLY CHAIN. GENERALLY, THE AGRIFOOD SYSTEM IS A MULTIPLEX NETWORK OF INTERCONNECTED FEATURES AND PROCESSES, WITH A HARD PREDICTIVE RATE, WHERE MAINTAINING THE FOOD'S SAFETY IS AN INDISPENSABLE ELEMENT AND IS PART OF THE SUSTAINABLE DEVELOPMENT GOALS (SDGS). IT HAS LED THE SCIENTIFIC COMMUNITY TO DEVELOP ADVANCED APPLIED ANALYTICAL METHODS, SUCH AS MACHINE LEARNING (ML) AND DEEP LEARNING (DL) TECHNIQUES APPLIED FOR ASSESSING FOODBORNE DISEASES. THE MAIN OBJECTIVE OF THIS PAPER IS TO CONTRIBUTE TO THE DEVELOPMENT OF THE CONSENSUS VERSION OF ONGOING RESEARCH ABOUT THE APPLICATION OF ARTIFICIAL INTELLIGENCE (AI) TOOLS IN THE DOMAIN OF FOOD-CROP SAFETY FROM AN ANALYTICAL POINT OF VIEW. WRITING A COMPREHENSIVE REVIEW FOR A MORE SPECIFIC TOPIC CAN ALSO BE CHALLENGING, ESPECIALLY WHEN SEARCHING WITHIN THE LITERATURE. TO OUR KNOWLEDGE, THIS REVIEW IS THE FIRST TO ADDRESS THIS ISSUE. THIS WORK CONSISTED OF CONDUCTING A UNIQUE AND EXHAUSTIVE STUDY OF THE LITERATURE, USING OUR TRISCOPE KEYWORDS-BASED SYNTHESIS METHODOLOGY. ALL AVAILABLE LITERATURE RELATED TO OUR TOPIC WAS INVESTIGATED ACCORDING TO OUR CRITERIA OF INCLUSION AND EXCLUSION. THE FINAL COUNT OF DATA PAPERS WAS SUBJECT TO DEEP READING AND ANALYSIS TO EXTRACT THE NECESSARY INFORMATION TO ANSWER OUR RESEARCH QUESTIONS. ALTHOUGH MANY STUDIES HAVE BEEN CONDUCTED, LIMITED ATTENTION HAS BEEN PAID TO OUTLINING THE APPLICATIONS OF AI TOOLS COMBINED WITH ANALYTICAL STRATEGIES FOR CROP-BASED FOOD SAFETY SPECIFICALLY."
"A CONCEPTUAL MODEL RELATIONSHIP BETWEEN INDUSTRY 4.0-FOOD-AGRICULTURE NEXUS AND AGROECOSYSTEM: A LITERATURE REVIEW AND KNOWLEDGE GAPS","WITH THE EXPECTED COLONIZATION OF HUMAN DAILY LIFE BY ARTIFICIAL INTELLIGENCE, INCLUDING IN INDUSTRY PRODUCTIVITY, THE DEPLOYMENT OF INDUSTRY 4.0 (I4) IN THE FOOD AGRICULTURE INDUSTRY (FAI) IS EXPECTED TO REVOLUTIONIZE AND GALVANIZE FOOD PRODUCTION TO INCREASE THE EFFICIENCY OF THE INDUSTRY'S PRODUCTION AND TO MATCH, IN TANDEM, A COUNTRY'S GROSS DOMESTIC PRODUCTIVITY. BASED ON A LITERATURE REVIEW, THERE HAVE BEEN ALMOST NO DIRECT RELATIONSHIPS BETWEEN THE I4-FOOD-AGRICULTURE (I4FA) NEXUS AND THE AGROECOSYSTEM. THIS STUDY AIMED TO EVALUATE THE STATE-OF-THE-ART RELATIONSHIPS BETWEEN THE I4FA NEXUS AND THE AGROECOSYSTEM AND TO DISCUSS THE CHALLENGES IN THE SUSTAINABLE FAI THAT CAN BE ASSISTED BY THE I4 TECHNOLOGIES. THIS OBJECTIVE WAS FULFILLED BY (A) REVIEWING ALL THE RELEVANT PUBLICATIONS AND (B) DRAWING A CONCEPTUAL RELATIONSHIP BETWEEN THE I4FA NEXUS AND THE AGROECOSYSTEM, IN WHICH THE I4FA NEXUS IS CATEGORIZED INTO SOCIO-ECONOMIC AND ENVIRONMENTAL (SEE) PERSPECTIVES. FOUR POINTS ARE HIGHLIGHTED IN THE PRESENT REVIEW. FIRST, I4 TECHNOLOGY IS PROJECTED TO GROW IN THE AGRICULTURAL AND FOOD SECTORS TODAY AND IN THE FUTURE. SECOND, FOOD AGRICULTURE OUTPUT MAY BENEFIT FROM I4 BY CONSIDERING THE SEE BENEFITS. THIRD, IMPLEMENTING I4 IS A CHALLENGING JOURNEY FOR THE SUSTAINABLE FAI, ESPECIALLY FOR THE SMALL TO MEDIUM ENTERPRISES (SMES). FOURTH, ENVIRONMENTAL, SOCIAL, AND GOVERNANCE (ESG) PRINCIPLES CAN HELP TO MANAGE I4'S IMPLEMENTATION IN AGRICULTURE AND FOOD. THE ADVANTAGES OF I4 DEPLOYMENT INCLUDE (A) SOCIAL BENEFITS LIKE INCREASED OCCUPATIONAL SAFETY, WORKERS' HEALTH, AND FOOD QUALITY, SECURITY, AND SAFETY; (B) ECONOMIC BENEFITS, LIKE USING SENSORS TO REDUCE AGRICULTURAL FOOD PRODUCTION COSTS, AND THE FOOD SUPPLY CHAIN; AND (C) ENVIRONMENTAL BENEFITS LIKE REDUCING CHEMICAL LEACHING AND FERTILIZER USE. HOWEVER, MORE STUDIES ARE NEEDED TO ADDRESS SOCIAL ADAPTABILITY, TRUST, PRIVACY, AND ECONOMIC INCOME UNCERTAINTY, ESPECIALLY IN SMES OR IN BUSINESSES OR NATIONS WITH LOWER RESOURCES; THIS WILL REQUIRE TIME FOR ADAPTATION TO MAKE THE TRANSITION AWAY FROM HUMAN ECOLOGY. FOR AGRICULTURE TO BE ESG-SUSTAINABLE, THE DEPLOYMENT OF I4FA COULD BE AN ANSWER WITH THE SUPPORT OF AN OPEN-MINDED DIALOGUE PLATFORM WITH ESG-MINDED LEADERS TO COMPLEMENT SUSTAINABLE AGROECOSYSTEMS ON A GLOBAL SCALE."
"INTEGRATIVE DEEP LEARNING FRAMEWORK PREDICTS LIPIDOMICS-BASED INVESTIGATION OF PRESERVATIVES ON MEAT NUTRITIONAL BIOMARKERS AND METABOLIC PATHWAYS","PRESERVATIVES ARE ADDED AS ANTIMICROBIAL AGENTS TO EXTEND THE SHELF LIFE OF MEAT. ADDING PRESERVATIVES TO MEAT PRODUCTS CAN AFFECT THEIR FLAVOR AND NUTRITION. THIS REVIEW CLARIFIES THE EFFECTS OF PRESERVATIVES ON METABOLIC PATHWAYS AND NETWORK MOLECULAR TRANSFORMATIONS IN MEAT PRODUCTS BASED ON LIPIDOMICS, METABOLOMICS AND PROTEOMICS ANALYSES. PRESERVATIVES CHANGE THE NUTRIENT CONTENT OF MEAT PRODUCTS VIA ALTERING IONIC STRENGTH AND PH TO INFLUENCE ENZYME ACTIVITY. IONIC STRENGTH IN SALT TRIGGERS MUSCLE TRIGLYCERIDE HYDROLYSIS BY CAUSING PHOSPHORYLATION AND LIPID DROPLET SPLITTING IN ADIPOSE TISSUE HORMONE-SENSITIVE LIPASE AND TRIGLYCERIDE LIPASE. DISOLIPPRED EXPLOITING DEEP RECURRENT NETWORKS AND TRANSFER LEARNING CAN PREDICT THE LIPID BINDING TREND OF EACH AMINO ACID IN THE DISORDERED REGION OF INPUT PROTEIN SEQUENCES, WHICH COULD PROVIDE OMICS ANALYSES OF BIOMARKERS METABOLIC PATHWAYS IN MEAT PRODUCTS. WHILE CONVENTIONAL MEAT QUALITY ASSESSMENT TOOLS ARE UNABLE TO ELUCIDATE THE INTRINSIC MECHANISMS AND PATHWAYS OF VARIABLES IN THE INFLUENCES OF PRESERVATIVES ON THE QUALITY OF MEAT PRODUCTS, THE PROMISING APPLICATION OF OMICS TECHNIQUES IN FOOD ANALYSIS AND DISCOVERY THROUGH MULTIMODAL LEARNING PREDICTION ALGORITHMS OF NEURAL NETWORKS (E.G., DEEP NEURAL NETWORK, CONVOLUTIONAL NEURAL NETWORK, ARTIFICIAL NEURAL NETWORK) WILL DRIVE THE MEAT INDUSTRY TO DEVELOP NEW STRATEGIES FOR FOOD SPOILAGE PREVENTION AND CONTROL."
